market_hash_name,listings,current_price,volume_30d,buy_target,sell_target,spread_pct,required_pct,profit_per_trade,round_trips,median_hold_hours,profit_per_window,return_on_capital_pct,median_price,price_drift,tradable,note
Winter 2025 Cosmetic Case,2307341,2.58,3967,1.87,3.01,60.96,14.44,0.75,20,13.5,15.00,802.1,2.589,1.00,True,
Summer 2025 Cosmetic Case,482245,2.58,5239,1.86,3.03,62.90,14.52,0.78,17,10.0,13.26,712.9,2.589,1.00,True,
Winter 2023 Cosmetic Case,175729,2.58,4085,2.04,3.05,49.51,14.71,0.62,17,12.0,10.54,516.7,2.589,1.00,True,
Spectral Stash Case,682827,2.58,31800,1.83,3.00,63.93,14.75,0.78,10,7.5,7.80,426.2,2.589,1.00,True,
Bald Spotter,904,11.31,1464,9.47,12.82,35.37,14.89,1.69,20,11.0,33.80,356.9,11.057,0.98,True,
Mann Co. Supply Crate Series #77,244,4.74,1368,4.25,7.04,65.65,14.82,1.88,8,36.5,15.04,353.9,5.179,1.09,True,
Winter 2020 Cosmetic Case,101006,2.58,1307,1.86,3.02,62.37,14.52,0.77,8,40.5,6.16,331.2,2.589,1.00,True,
Strange Reserve Shooter,179,13.64,709,10.96,14.67,33.85,14.87,1.81,20,5.5,36.20,330.3,13.600,1.00,True,
The Night Riders,180,13.25,1906,10.74,14.83,38.08,14.90,2.16,15,3.0,32.40,301.7,12.947,0.98,True,
Strange Silver Botkiller Wrench Mk.II,130,13.64,782,11.76,15.53,32.06,14.88,1.75,19,15.0,33.25,282.7,13.81,1.01,True,
Winter 2024 Cosmetic Case,921618,2.58,4807,2.22,3.52,58.56,14.86,0.85,7,22.0,5.95,268.0,2.589,1.00,True,
Civil Servant Mk.II War Paint (Battle Scarred),247,7.67,356,5.22,7.92,51.72,14.94,1.67,8,62.5,13.36,255.9,6.788,0.89,True,
The Airdog,909,11.31,802,9.53,12.58,32.00,14.90,1.42,17,12.0,24.14,253.3,11.537,1.02,True,
The Battle Music,253,13.9,673,11.19,14.67,31.10,14.83,1.58,16,16.5,25.28,225.9,13.764,0.99,True,
Mann Co. Supply Crate Series #75,921,2.9,905,2.59,4.03,55.60,14.29,0.92,6,40.0,5.52,213.1,3.0495,1.05,True,
Army Guns War Paint (Well-Worn),130,10.45,325,8.82,12.02,36.28,14.97,1.64,11,27.0,18.04,204.5,10.358,0.99,True,
Surgical Shroud,102,57.88,516,60.24,97.11,61.21,14.99,24.21,5,6.0,121.05,200.9,84.6245,1.46,True,
Firearm Protector,886,11.51,511,9.44,12.98,37.50,14.94,1.85,10,42.0,18.50,196.0,11.5675,1.00,True,
Down Tundra Coat,459,13.21,681,10.84,13.50,24.54,14.94,0.91,22,10.0,20.02,184.7,12.775,0.97,True,
Trucker's Topper,179,13.25,589,10.93,13.94,27.54,14.91,1.20,15,13.0,18.00,164.7,12.947,0.98,True,
The Bushman,84,34.75,862,24.88,35.07,40.96,14.95,5.62,7,80.0,39.34,158.1,30.737,0.88,True,
Vintage Dead Ringer,180,62.35,890,49.75,64.74,30.13,14.97,6.55,11,19.0,72.05,144.8,57.822,0.93,True,
Strange Powerjack,245,14.08,831,12.01,14.98,24.73,14.99,1.02,17,12.0,17.34,144.4,13.895,0.99,True,
Siberian Sweater,102,17,557,13.40,17.26,28.81,15.00,1.61,11,12.0,17.71,132.2,16.4,0.96,True,
Safety Stripes,71,22.26,466,18.66,23.81,27.60,14.95,2.05,12,14.5,24.60,131.8,22.356,1.00,True,
Genuine Foppish Physician,452,17.95,1155,15.10,18.81,24.57,14.97,1.27,15,14.0,19.05,126.2,17.263,0.96,True,
The Deadliest Match,253,17.89,2237,14.90,20.72,39.06,14.97,3.12,6,9.0,18.72,125.6,17.263,0.96,True,
Spyder,923,10.85,339,8.63,12.25,41.95,14.95,2.03,5,29.0,10.15,117.6,11.603,1.07,True,
Alpine Hawk,62,19.16,362,13.81,18.13,31.28,14.99,1.97,8,13.0,15.76,114.1,16.4,0.86,True,
Dustbowl Devil,63,24.88,408,18.93,23.66,24.99,14.95,1.66,13,10.0,21.58,114.0,21.786,0.88,True,
Strange Part: Heavies Killed,104,17.89,581,16.07,20.80,29.43,14.93,2.02,9,57.0,18.18,113.1,19.36,1.08,True,
Beanie the All-Gnawing,935,11.51,497,9.50,12.89,35.68,14.95,1.71,6,46.5,10.26,108.0,11.7905,1.02,True,
The Lavish Labwear,83,32.74,524,26.76,34.47,28.81,14.95,3.23,8,45.0,25.84,96.6,32.199,0.98,True,
Inglorious Patriot,184,33,2783,32.80,42.23,28.75,15.00,3.93,7,5.0,27.51,83.9,36.3335,1.10,True,
Hawaiian Hunter,134,17,371,15.70,19.93,26.94,14.97,1.64,8,17.0,13.12,83.6,17.9405,1.06,True,
Pretty Boy's Pocket Pistol Strangifier,55,24.15,412,18.13,25.04,38.11,14.95,3.66,4,68.0,14.64,80.8,23.305,0.97,True,
Genuine Prinny Hat,329,17.39,348,14.53,19.26,32.55,14.93,2.23,5,18.0,11.15,76.7,17.5145,1.01,True,
Vintage Jarate,182,25.42,619,18.56,25.39,36.80,14.92,3.53,4,39.0,14.12,76.1,21.639,0.85,True,
Mann Co. Supply Crate Series #26,252,14.12,677,10.92,17.26,58.06,14.93,4.09,2,255.5,8.18,74.9,13.061,0.92,True,
Summer 2026 War Paint Case,422275,2.58,32973,2.59,3.01,16.22,14.29,0.03,64,6.5,1.92,74.1,2.589,1.00,True,
Barefoot Brawler,71,31.19,559,28.48,34.95,22.72,14.96,1.91,11,24.0,21.01,73.8,32.149,1.03,True,
Mann Co. Supply Munition Series #84,895,42.29,2296,38.73,47.70,23.16,14.98,2.76,9,10.0,24.84,64.1,42.919,1.01,True,
Color No. 216-190-216,454,35.09,1147,30.21,35.68,18.11,15.00,0.82,23,4.0,18.86,62.4,33.663,0.96,True,
Strange Claidheamh Mòr,83,18.03,396,16.19,24.17,49.29,14.89,4.83,2,136.0,9.66,59.7,18.630,1.03,True,
Strange Flame Thrower,183,54.3,475,47.75,57.79,21.03,14.97,2.51,11,17.0,27.61,57.8,54.378,1.00,True,
A Hat to Kill For,104,78.55,635,66.46,78.95,18.79,14.99,2.20,16,14.5,35.20,53.0,75.957,0.97,True,
The Scariest Mask EVER,63,15.77,1075,13.45,15.95,18.59,14.94,0.43,16,10.5,6.88,51.2,14.674,0.93,True,
The Color of a Gentlemann's Business Pants,62,32.75,450,26.68,33.75,26.50,14.96,2.68,5,68.0,13.40,50.2,29.502,0.90,True,
Winter 2022 Cosmetic Case,135660,2.58,2377,2.56,3.04,18.75,14.45,0.09,14,11.5,1.26,49.2,2.589,1.00,True,
Vintage Chargin' Targe,182,34.05,453,28.47,34.73,21.99,14.96,1.73,8,33.0,13.84,48.6,32.0215,0.94,True,
Delusions of Grandeur,84,20.04,593,20.72,33.78,63.03,14.96,8.67,1,143.0,8.67,41.8,25.184,1.26,True,
Summer 2026 Cosmetic Case,432090,2.58,67061,2.59,3.00,15.83,14.29,0.02,53,4.0,1.06,40.9,2.589,1.00,True,
Down Under Duster,131,63.53,441,59.53,70.90,19.10,14.98,2.13,10,21.5,21.30,35.8,64.624,1.02,True,
Strange Crit-a-Cola,50,52.6,320,45.75,55.47,21.25,14.97,2.49,6,23.0,14.94,32.7,51.6095,0.98,True,
The Sophisticated Smoker,71,64.56,413,58.98,69.47,17.79,14.97,1.43,10,15.5,14.30,24.2,64.0495,0.99,True,
Winter 2021 Cosmetic Case,125363,2.58,990,2.59,3.02,16.60,14.29,0.04,15,24.0,0.60,23.2,2.589,1.00,True,
Killstreak Big Earner,71,68.48,391,69.37,79.91,15.19,14.98,0.12,9,17.0,1.08,1.6,76.3965,1.12,True,
Mann Co. Supply Crate Series #37,880,42.22,934,39.23,44.40,13.18,14.99,-0.62,7,37.0,-4.34,-11.1,42.294,1.00,False,
Specialized Killstreak Ham Shank Kit Fabricator,463,5.18,667,,,,,,0,,,,121.145,23.39,False,history is 23.39x the current price
Specialized Killstreak Southern Hospitality Kit Fabricator,457,5.18,152,,,,,,0,,,,2171.684,419.24,False,history is 419.24x the current price
Specialized Killstreak Persian Persuader Kit Fabricator,454,4.74,253,,,,,,0,,,,239.092,50.44,False,history is 50.44x the current price
Specialized Killstreak Boston Basher Kit Fabricator,453,5.44,176,,,,,,0,,,,732.868,134.72,False,history is 134.72x the current price
Specialized Killstreak Pain Train Kit Fabricator,451,4.74,215,,,,,,0,,,,1525.236,321.78,False,history is 321.78x the current price
Specialized Killstreak Fists of Steel Kit Fabricator,450,5.2,216,,,,,,0,,,,1161.4535,223.36,False,history is 223.36x the current price
Specialized Killstreak Gloves of Running Urgently Kit Fabricator,340,5.33,185,,,,,,0,,,,271.245,50.89,False,history is 50.89x the current price
Specialized Killstreak Cow Mangler 5000 Kit Fabricator,339,5.2,137,,,,,,0,,,,68.905,13.25,False,history is 13.25x the current price
Specialized Killstreak Axtinguisher Kit Fabricator,339,5.2,372,,,,,,0,,,,154.6105,29.73,False,history is 29.73x the current price
Specialized Killstreak Classic Kit Fabricator,339,5.6,131,,,,,,0,,,,145.872,26.05,False,history is 26.05x the current price
Specialized Killstreak Third Degree Kit Fabricator,337,5,283,,,,,,0,,,,733.802,146.76,False,history is 146.76x the current price
Specialized Killstreak Bonesaw Kit Fabricator,253,5.72,48,,,,,,0,,,,66.882,11.69,False,history is 11.69x the current price
